"county_name","votes_dem","votes_rep","votes_total","count_precincts","X.1","state_name","county_fips","fips","countypop","medianincome","hsgradpct","collegegradpct","internetaccesspct","whitepopulationpct","nonwhitepopulationpct","dem_vote_share_2020"
"Abbeville County",3399,8502,12041,15,2286,"South Carolina",45001,45001,24541,36685,0.346458989616147,0.113697351534243,0.63085604770017,0.698381798272296,0.301618201727704,0.372343387470998
"Accomack County",7376,9660,17177,16,2789,"Virginia",51001,51001,32412,43210,0.388005933460479,0.110998092816275,0.627735068007096,0.683281412253375,0.316718587746625,0.457390314831205
"Ada County",116116,143759,267419,197,522,"Idaho",16001,16001,469966,63137,0.229826408212253,0.252676961037394,0.798198176277002,0.90716777416086,0.09283222583914,0.520864316779868
"Adair County",3632,16419,20310,38,760,"Iowa",19001,19001,7063,51859,0.43097379741885,0.116151740320688,0.720872274143302,0.977961819202695,0.022038180797305,0.35423773287851
"Adair County",3632,16419,20310,38,964,"Kentucky",21001,21001,19215,39346,0.387427347812787,0.07769960232487,0.649908463596677,0.9459487552622,0.0540512447378,0.193854002186323
"Adair County",3632,16419,20310,38,1454,"Missouri",29001,29001,25339,40046,0.357692877239745,0.145342810602695,0.730901511203752,0.912142152023692,0.087857847976308,0.410326618423626
"Adair County",3632,16419,20310,38,2101,"Oklahoma",40001,40001,22082,32986,0.455647690056442,0.0873806703365619,0.502308876346845,0.423235201012979,0.576764798987021,0.265008444649163
"Adams County",19472,49266,70476,155,216,"Colorado",8001,8001,511868,67575,0.28418081404669,0.159901803928472,0.803781967656977,0.825024390734538,0.174975609265462,0.586492138486562
"Adams County",19472,49266,70476,155,523,"Idaho",16003,16003,4250,45319,0.376508972267537,0.111582381729201,0.680875576036866,0.958447374968898,0.041552625031102,0.287219422812643
"Adams County",19472,49266,70476,155,566,"Illinois",17001,17001,65691,51398,0.344847749815914,0.155693680426214,0.738938858745129,0.930630617068361,0.069369382931639,0.286720290444744
"Adams County",19472,49266,70476,155,668,"Indiana",18001,18001,35636,51713,0.397117202268431,0.105954631379962,0.662651569902835,0.967751101008666,0.032248898991334,0.262948815889992
"Adams County",19472,49266,70476,155,761,"Iowa",19003,19003,3645,49229,0.391111111111111,0.137407407407407,0.698911729141475,0.982823403113258,0.017176596886742,0.337606837606838
"Adams County",19472,49266,70476,155,1372,"Mississippi",28001,28001,31192,29203,0.345661958023261,0.104228866806292,0.681032235641672,0.40517323358798,0.59482676641202,0.575455333911535
"Adams County",19472,49266,70476,155,1625,"Nebraska",31001,31001,31511,51536,0.280101890859214,0.154648770451651,0.768939094715222,0.932906943608903,0.067093056391097,0.312735883963591
"Adams County",19472,49266,70476,155,1960,"North Dakota",38001,38001,2294,54875,0.335701598579041,0.182948490230906,0.761406844106464,0.930667800935772,0.0693321990642281,0.253694581280788
"Adams County",19472,49266,70476,155,2013,"Ohio",39001,39001,27724,36894,0.436423211077053,0.0839763238558292,0.57558407978576,0.972020948418107,0.027979051581893,0.23769698036799
"Adams County",19472,49266,70476,155,2214,"Pennsylvania",42001,42001,102811,64507,0.405005736030667,0.128095358012256,0.779818640836725,0.925761838016918,0.074238161983082,0.338309924403546
"Adams County",19472,49266,70476,155,2922,"Washington",53001,53001,19759,49142,0.270513300861746,0.0929186961408767,0.635130494505495,0.693039276166975,0.306960723833025,0.336132644272179
"Adams County",19472,49266,70476,155,3016,"Wisconsin",55001,55001,20348,43280,0.428197456993268,0.0830840189478933,0.704642900894279,0.928710207741743,0.071289792258257,0.411353797717434
"Addison County",14879,6841,22396,23,2775,"Vermont",50001,50001,36973,65093,0.305486725663717,0.219429695181908,0.793279368750425,0.941633503884783,0.058366496115217,0.721664652409227
"Aiken County",31245,53515,85958,89,2287,"South Carolina",45003,45003,169401,50036,0.322036369874764,0.168716761022474,0.736967870569076,0.706247079544229,0.293752920455771,0.38511175535397
"Aitkin County",3524,6741,10446,51,1285,"Minnesota",27001,27001,15902,45989,0.377274565305297,0.122038010513546,0.678946685692048,0.948023241126689,0.051976758873311,0.40244827212653
"Alachua County",81578,52939,137282,63,292,"Florida",12001,12001,269956,49078,0.217448088358104,0.217171812308098,0.819582499871775,0.694255704014471,0.305744295985529,0.635734341336693
"Alamance County",40624,47937,89840,39,1860,"North Carolina",37001,37001,166436,45735,0.275698642056447,0.167525987910877,0.7389862774649,0.702383917895576,0.297616082104424,0.454516070098515
"Alameda County",494467,139468,663309,391,158,"California",6001,6001,1666753,92574,0.176268847219484,0.264388570084503,0.861131319521324,0.414750258562998,0.585249741437002,0.853389905634711
"Albany County",100960,63490,167554,244,1798,"New York",36001,36001,307117,64535,0.241114082998792,0.210636206719509,0.811518950995406,0.755960784058603,0.244039215941397,0.658084817278123
"Albany County",100960,63490,167554,244,3088,"Wyoming",56001,56001,38601,46865,0.160369755866319,0.275231097416449,0.815353863451808,0.901265025457981,0.098734974542019,0.554396248534584
"Albemarle County",44278,21513,67206,30,2790,"Virginia",51003,51003,108718,75394,0.165716113955041,0.27441297574004,0.833912282893915,0.815561092567345,0.184438907432655,0.660490780241864
"Alexander County",4964,17745,22958,21,567,"Illinois",17003,17003,6060,34709,0.378080985915493,0.0889084507042254,0.459703947368421,0.624311083894672,0.375688916105328,0.474349964862966
"Alexander County",4964,17745,22958,21,1861,"North Carolina",37003,37003,37353,44961,0.386178253386216,0.100838135149293,0.679569266589057,0.879334033783238,0.120665966216762,0.239614689945816
"Alexandria city",62327,16111,80893,32,2884,"Virginia",51510,51510,160530,96733,0.119911601464312,0.288695446800614,0.887464864628694,0.62036995623143,0.37963004376857,0.824666754652237
"Alfalfa County",236,1891,2160,8,2102,"Oklahoma",40003,40003,5754,59569,0.390748489074849,0.144583914458391,0.751263902932255,0.776165272323715,0.223834727676285,0.143932683790965
